City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
60,Necochea,AR,2020-05-26 22:55:52,-38.55,-58.74,45.0,93,0,3.0
61,Bluff,NZ,2020-05-26 22:55:29,-46.6,168.33,47.88,87,52,6.4
62,Asau,RO,2020-05-26 22:56:20,46.43,26.4,48.0,87,79,4.03
63,Thompson,CA,2020-05-26 22:56:01,55.74,-97.86,77.0,25,75,8.05
64,Esperance,AU,2020-05-26 22:56:36,-33.87,121.9,44.6,93,0,10.29
65,Chicama,PE,2020-05-26 22:58:07,-7.84,-79.15,71.62,73,32,6.55
66,Fortuna,US,2020-05-26 22:55:51,40.6,-124.16,62.01,87,20,19.46
67,Barrow,US,2020-05-26 22:56:08,71.29,-156.79,32.0,90,90,8.05
68,Lake Havasu City,US,2020-05-26 22:57:47,34.48,-114.32,104.0,6,1,8.05
69,Port Elizabeth,ZA,2020-05-26 22:55:32,-33.92,25.57,46.4,81,75,13.87
70,Mitla,MX,2020-05-26 22:58:08,16.92,-96.4,91.4,7,40,8.05
71,Yarega,RU,2020-05-26 22:58:08,63.44,53.58,42.03,76,32,1.45
72,Kavaratti,IN,2020-05-26 22:56:26,10.57,72.64,84.34,77,33,12.46
73,Xuddur,SO,2020-05-26 22:58:08,4.12,43.89,74.12,83,2,10.18
74,East London,ZA,2020-05-26 22:55:26,-33.02,27.91,52.47,68,36,25.21
75,Jamestown,US,2020-05-26 22:55:28,42.1,-79.24,86.0,37,20,5.82
76,Dallas,US,2020-05-26 22:58:08,32.77,-96.78,73.4,60,75,5.82
77,Georgetown,MY,2020-05-26 22:52:59,5.41,100.34,78.8,94,20,2.24
78,Yellowknife,CA,2020-05-26 22:55:48,62.46,-114.35,52.0,43,20,3.36
79,Hovd,MN,2020-05-26 22:56:38,48.01,91.64,62.91,43,78,10.13
80,Itoman,JP,2020-05-26 22:58:09,26.12,127.67,80.6,94,75,12.75
81,Taoudenni,ML,2020-05-26 22:58:09,22.68,-3.98,92.12,12,0,9.55
82,Avarua,CK,2020-05-26 22:51:58,-21.21,-159.78,78.8,65,69,5.82
83,Lagoa,PT,2020-05-26 22:55:38,39.05,-27.98,64.6,87,7,8.43
84,Puerto Ayora,EC,2020-05-26 22:55:42,-0.74,-90.35,77.0,83,75,10.29
85,Lebu,CL,2020-05-26 22:55:49,-37.62,-73.65,56.71,93,11,9.17
86,Bukachacha,RU,2020-05-26 22:56:03,52.98,116.92,55.63,68,85,2.93
87,Kapaa,US,2020-05-26 22:55:29,22.08,-159.32,80.6,74,1,8.05
88,Ilulissat,GL,2020-05-26 22:55:28,69.22,-51.1,33.8,69,100,4.7
89,Jiayuguan,CN,2020-05-26 22:58:10,39.82,98.3,57.06,37,5,8.9
90,North Bend,US,2020-05-26 22:56:41,43.41,-124.22,77.0,77,1,17.22
91,Nikolskoye,RU,2020-05-26 22:55:37,59.7,30.79,46.4,70,6,0.6
92,Tuy Hoa,VN,2020-05-26 22:56:33,13.08,109.3,81.21,79,100,5.91
93,Maniitsoq,GL,2020-05-26 22:58:11,65.42,-52.9,34.5,96,100,5.19
94,Hamilton,US,2020-05-26 22:54:51,39.18,-84.53,86.0,54,40,3.36
95,Uvinza,TZ,2020-05-26 22:58:11,-5.1,30.39,66.65,78,14,1.86
96,Teyateyaneng,LS,2020-05-26 22:58:11,-29.15,27.75,30.0,90,22,6.87
97,Roquetas De Mar,ES,2020-05-26 22:58:11,36.76,-2.61,73.4,56,38,14.99
98,Sao Felix Do Xingu,BR,2020-05-26 22:58:12,-6.64,-51.99,73.94,96,100,0.07
99,Nanortalik,GL,2020-05-26 22:56:15,60.14,-45.24,40.71,93,100,7.11
100,Katsuura,JP,2020-05-26 22:55:34,35.13,140.3,69.01,94,75,9.17
101,Kovdor,RU,2020-05-26 22:56:44,67.57,30.48,41.99,76,36,4.85
102,Narasannapeta,IN,2020-05-26 22:58:12,18.42,84.05,82.27,83,82,9.66
103,Caranavi,BO,2020-05-26 22:58:12,-15.82,-67.55,61.59,72,0,1.34
104,Lima,PE,2020-05-26 22:57:16,-12.04,-77.03,68.0,72,6,6.93
105,El Tocuyo,VE,2020-05-26 22:58:12,9.79,-69.79,75.2,69,77,16.11
106,Badnawar,IN,2020-05-26 22:58:12,23.02,75.22,77.47,69,78,12.28
107,Black Diamond,US,2020-05-26 22:58:13,47.31,-122.0,66.0,79,95,1.99
108,Albany,US,2020-05-26 22:55:28,42.6,-73.97,88.0,43,19,4.92
109,Dikson,RU,2020-05-26 22:55:41,73.51,80.55,30.97,98,37,15.32
110,Celestun,MX,2020-05-26 22:58:13,20.87,-90.4,85.57,71,6,14.61
111,Findlay,US,2020-05-26 22:53:14,41.04,-83.65,84.99,54,1,8.34
112,Cockburn Town,TC,2020-05-26 22:56:21,21.46,-71.14,81.5,84,73,16.17
113,Oktyabrskoye,RU,2020-05-26 22:58:13,43.06,44.74,51.8,100,5,8.95
114,Barra Do Garcas,BR,2020-05-26 22:58:14,-15.89,-52.26,63.14,64,0,1.9
115,Bethel,US,2020-05-26 22:55:28,41.37,-73.41,78.01,64,1,9.17
116,Khvoynaya,RU,2020-05-26 22:58:14,58.9,34.53,44.42,92,27,4.27
117,Torbay,CA,2020-05-26 22:55:28,47.67,-52.73,54.0,87,90,21.92
118,Port Augusta,AU,2020-05-26 22:58:14,-32.5,137.77,53.01,93,28,5.82
119,Sulangan,PH,2020-05-26 22:58:14,11.14,123.72,83.77,72,20,7.05
120,Kahului,US,2020-05-26 22:55:59,20.89,-156.47,87.8,52,40,20.8
121,Ouesso,CG,2020-05-26 22:58:15,1.61,16.05,73.94,89,96,2.86
122,Kankon,IN,2020-05-26 22:58:15,15.02,74.02,81.43,85,99,4.29
123,Fort Nelson,CA,2020-05-26 22:55:55,58.81,-122.7,62.6,29,75,17.22
124,Sitka,US,2020-05-26 22:55:45,57.05,-135.33,51.8,71,40,10.29
125,Bow Island,CA,2020-05-26 22:58:16,49.87,-111.37,63.0,72,40,13.87
126,Ghanzi,BW,2020-05-26 22:55:03,-21.57,21.78,44.2,64,0,10.8
127,Zacualpan,MX,2020-05-26 22:58:16,21.25,-105.17,86.0,42,5,9.17
128,Victoria,HK,2020-05-26 22:52:09,22.29,114.16,80.01,83,97,3.0
129,Neuquen,AR,2020-05-26 22:58:16,-38.95,-68.06,59.0,47,0,2.24
130,Qaqortoq,GL,2020-05-26 22:56:42,60.72,-46.03,42.8,70,99,1.12
131,Saskylakh,RU,2020-05-26 22:56:16,71.92,114.08,30.11,93,100,15.48
132,Kitimat,CA,2020-05-26 22:58:17,54.05,-128.65,57.2,45,75,13.87
133,Hermanus,ZA,2020-05-26 22:55:30,-34.42,19.23,45.0,92,98,1.01
134,Soe,ID,2020-05-26 22:58:17,-9.86,124.28,69.04,100,42,2.55
135,New Norfolk,AU,2020-05-26 22:55:50,-42.78,147.06,39.99,92,22,2.73
136,Cam Ranh,VN,2020-05-26 22:58:18,11.92,109.16,82.4,88,40,3.36
137,Hobart,AU,2020-05-26 22:52:12,-42.88,147.33,42.8,81,40,9.17
138,Port Alfred,ZA,2020-05-26 22:55:47,-33.59,26.89,51.84,76,95,25.61
139,Aleysk,RU,2020-05-26 22:58:18,52.49,82.78,53.83,83,88,16.53
140,Bad Schwalbach,DE,2020-05-26 22:58:19,50.13,8.07,55.4,66,1,3.36
141,Ayr,GB,2020-05-26 22:58:19,55.46,-4.63,48.2,76,95,0.96
142,Mae Ramat,TH,2020-05-26 22:58:19,16.98,98.52,73.4,88,6,1.1
143,Klaksvik,FO,2020-05-26 22:55:28,62.23,-6.59,46.4,81,27,19.46
144,College,US,2020-05-26 22:55:39,64.86,-147.8,60.8,41,75,11.41
